小説	ID	Property	原文	述語	修正	メモ
ACaseOfIdentity.tsv	475	hasPredicate	結婚する	Get married	getMarried	結婚するは統一する
ACaseOfIdentity.tsv	486	hasPredicate	結婚する	Get married	getMarried	結婚するは統一する
ACaseOfIdentity.tsv	72	hasPredicate	再婚する	Get married again	getMarriedAgain	結婚するは統一する
ACaseOfIdentity.tsv	229	hasPredicate	乗る	get on	getOn	
ACaseOfIdentity.tsv	289	hasPredicate	出て行く	get out	getOut	
ACaseOfIdentity.tsv	294	hasPredicate	起きる	Get up	getUp	
ACaseOfIdentity.tsv	295	hasPredicate	起きる	Get up	getUp	
DancingMen.tsv	219	hasPredicate	怒った	getAngry		
SpeckledBand.tsv	22	hasPredicate	怒る	getAngry		
DancingMen.tsv	106	hasPredicate	怪我を負っていた	getHurt		
DancingMen.tsv	9	hasPredicate	結婚した	getMarried		
SpeckledBand.tsv	5	hasPredicate	結婚する	getMarried		結婚するは統一する
SpeckledBand.tsv	10	hasPredicate	結婚した	getMarried		結婚するは統一する
SpeckledBand.tsv	19	hasPredicate	結婚する	getMarried		結婚するは統一する
SpeckledBand.tsv	112	hasPredicate	挙げる	getMarried		挙げる　結婚する？
SpeckledBand.tsv	148	hasPredicate	嫁ぐと	getMarried		嫁ぐ
DancingMen.tsv	218	hasPredicate	渡す	give		
CrookedMan.tsv	226	hasPredicate	渡した	give		
SpeckledBand.tsv	15	hasPredicate	与える	give		
SpeckledBand.tsv	84	hasPredicate	与える	give		
SpeckledBand.tsv	110	hasPredicate	申し込んだ	give		申し込む
SpeckledBand.tsv	387	hasPredicate	与える	give		
DancingMen.tsv	115	hasPredicate	出た	go	getOut	
DancingMen.tsv	205	hasPredicate	逃げた	go	escape	
DancingMen.tsv	215	hasPredicate	出る	go	getOut	
ACaseOfIdentity.tsv	116	hasPredicate	行く	go		
ACaseOfIdentity.tsv	118	hasPredicate	行く	go		
ACaseOfIdentity.tsv	121	hasPredicate	行く	go		
ACaseOfIdentity.tsv	132	hasPredicate	行く	go		
ACaseOfIdentity.tsv	133	hasPredicate	行く	go		
ACaseOfIdentity.tsv	159	hasPredicate	行く	go		
ACaseOfIdentity.tsv	391	hasPredicate	行く	go		
ACaseOfIdentity.tsv	560	hasPredicate	行く	go		
CrookedMan.tsv	4	hasPredicate	行く	go		
CrookedMan.tsv	52	hasPredicate	行く	go		
CrookedMan.tsv	55	hasPredicate	行った	go		
CrookedMan.tsv	90	hasPredicate	行った	go		
CrookedMan.tsv	175	hasPredicate	行った	go		
CrookedMan.tsv	239	hasPredicate	ついた	go		
CrookedMan.tsv	280	hasPredicate	出た	go		
CrookedMan.tsv	294	hasPredicate	行った	go		
CrookedMan.tsv	296	hasPredicate	行った	go		
CrookedMan.tsv	304	hasPredicate	行った	go		
SpeckledBand.tsv	34	hasPredicate	行く	go		
SpeckledBand.tsv	52	hasPredicate	行く	go		
SpeckledBand.tsv	57	hasPredicate	行く	go		
SpeckledBand.tsv	123	hasPredicate	抜け出した	go		抜け出す
SpeckledBand.tsv	127	hasPredicate	駆けつけた	go		駆けつける
SpeckledBand.tsv	132	hasPredicate	出向く	go		出向く
SpeckledBand.tsv	133	hasPredicate	出る	go		出る
SpeckledBand.tsv	136	hasPredicate	退室した	go		退室する
SpeckledBand.tsv	141	hasPredicate	出ていった	go		出た
SpeckledBand.tsv	151	hasPredicate	引き返した	go		引き返す
SpeckledBand.tsv	153	hasPredicate	出た	go		出る
SpeckledBand.tsv	178	hasPredicate	移動した	go		移動した
SpeckledBand.tsv	186	hasPredicate	入った	go		入る
SpeckledBand.tsv	211	hasPredicate	通じている	go		通じる
SpeckledBand.tsv	221	hasPredicate	ある	go		
SpeckledBand.tsv	262	hasPredicate	行く	go		
SpeckledBand.tsv	263	hasPredicate	引く	go		行く
SpeckledBand.tsv	265	hasPredicate	行く	go		
SpeckledBand.tsv	290	hasPredicate	行った	go		
SpeckledBand.tsv	341	hasPredicate	行く	go		
SpeckledBand.tsv	360	hasPredicate	近づいた	go		
SpeckledBand.tsv	398	hasPredicate	行く	go		
ACaseOfIdentity.tsv	120	hasPredicate	狂う	Go crazy	goCrazy	
ACaseOfIdentity.tsv	119	hasPredicate	外出する	go out	goOut	
ACaseOfIdentity.tsv	137	hasPredicate	出る	Go out	goOut	
ACaseOfIdentity.tsv	538	hasPredicate	出る	Go out	goOut	
SpeckledBand.tsv	385	hasPredicate	降りる	goDown		
ACaseOfIdentity.tsv	199	hasProperty	よい	Good	good	Property
ACaseOfIdentity.tsv	357	hasProperty	よい	Good	good	Property
ACaseOfIdentity.tsv	401	hasProperty	いい	Good	good	Property
ACaseOfIdentity.tsv	483	hasProperty	良い	good		
SpeckledBand.tsv	388	hasPredicate	上がる	goUp		
ACaseOfIdentity.tsv	452	hasPredicate	つかむ	Grab	grab	
ACaseOfIdentity.tsv	410	hasPredicate	挨拶する	Greet	greet	
ACaseOfIdentity.tsv	62	hasPredicate	渡す	hand over	handOver	
ACaseOfIdentity.tsv	106	hasPredicate	渡す	hand over	handOver	
ACaseOfIdentity.tsv	275	hasPredicate	渡す	hand over	handOver	
ACaseOfIdentity.tsv	276	hasPredicate	渡す	hand over	handOver	
ACaseOfIdentity.tsv	315	hasPredicate	ぶら下げている	Hanging	hanging	
CrookedMan.tsv	8	hasPredicate	起こった	happen		
CrookedMan.tsv	48	hasPredicate	起こった	happen		
ACaseOfIdentity.tsv	139	hasProperty	嬉しい	happy		
ACaseOfIdentity.tsv	40	hasProperty	つらい	Hard	hard	Property
ACaseOfIdentity.tsv	42	hasProperty	つらい	Hard	hard	Property
ACaseOfIdentity.tsv	354	hasPredicate	書かれている	has been written	beWritten	
ACaseOfIdentity.tsv	372	hasPredicate	書かれている	has been written	beWritten	
CrookedMan.tsv	161	hasPredicate	嫌いになった	hate		
DancingMen.tsv	17	hasPredicate	持つ	have		
DancingMen.tsv	21	hasPredicate	持っていた	have		
DancingMen.tsv	108	hasPredicate	持つ	have		
DancingMen.tsv	141	hasPredicate	ついていた	have		
DancingMen.tsv	153	hasPredicate	含む	have		
DancingMen.tsv	156	hasPredicate	持つ	have		
DancingMen.tsv	160	hasPredicate	持つ	have		
DancingMen.tsv	161	hasPredicate	持つ	have		
DancingMen.tsv	167a	hasPredicate	持つ	have		
DancingMen.tsv	169a	hasPredicate	持つ	have		
DancingMen.tsv	173b	hasPredicate	持つ	have		
DancingMen.tsv	194	hasPredicate	持つ	have		
ACaseOfIdentity.tsv	97	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	98	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	197	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	201	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	262	hasPredicate	持っている	have		
ACaseOfIdentity.tsv	337	hasPredicate	持っている	have		
ACaseOfIdentity.tsv	351	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	352	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	361	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	362	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	374	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	439	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	441	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	450	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	469	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	482	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	484	hasPredicate	持っている	have		
ACaseOfIdentity.tsv	552	hasPredicate	持つ	Have	have	
ACaseOfIdentity.tsv	561	hasPredicate	持っている	have		
CrookedMan.tsv	47	hasPredicate	持たない	have		
CrookedMan.tsv	60	hasPredicate	持つ	have		
CrookedMan.tsv	62	hasPredicate	もっている	have		
CrookedMan.tsv	67	hasPredicate	持つ	have		
CrookedMan.tsv	103	hasPredicate	持っていた	have		
CrookedMan.tsv	134	hasPredicate	もっていた	have		
CrookedMan.tsv	135	hasPredicate	もっていた	have		
CrookedMan.tsv	136	hasPredicate	もっている	have		
CrookedMan.tsv	139	hasPredicate	もっている	have		
CrookedMan.tsv	140	hasPredicate	もっている	have		
CrookedMan.tsv	169	hasPredicate	持つ	have		
CrookedMan.tsv	180	hasPredicate	持っている	have		
CrookedMan.tsv	195	hasPredicate	持つ	have		
CrookedMan.tsv	245	hasPredicate	多かった	have		
CrookedMan.tsv	260	hasPredicate	持っていた	have		
CrookedMan.tsv	343	hasPredicate	持っている	have		
SpeckledBand.tsv	12	hasPredicate	持つ	have		
SpeckledBand.tsv	63	hasPredicate	吹く	have		
SpeckledBand.tsv	87	hasPredicate	着ていた	have		着る
SpeckledBand.tsv	88	hasPredicate	持っていた	have		持つ
SpeckledBand.tsv	89	hasPredicate	持っていた	have		持つ
SpeckledBand.tsv	95	hasPredicate	付いている	have		付く
SpeckledBand.tsv	108	hasPredicate	巻いている	have		巻く
SpeckledBand.tsv	124	hasPredicate	頼んだ	have		頼む
SpeckledBand.tsv	129	hasPredicate	残されていた	have		残される
SpeckledBand.tsv	146	hasPredicate	受け取れる	have		受け取る
SpeckledBand.tsv	149	hasPredicate	動機がある	have		持つ
SpeckledBand.tsv	159	hasPredicate	ある	have		存在する
SpeckledBand.tsv	177	hasPredicate	作った	have		作る
SpeckledBand.tsv	193	hasPredicate	かかっている	have		かかる
SpeckledBand.tsv	197	hasPredicate	低い	have		低い
SpeckledBand.tsv	198	hasPredicate	ある	have		存在する
SpeckledBand.tsv	199	hasPredicate	ある	have		存在する
SpeckledBand.tsv	200	hasPredicate	ある	have		存在する
SpeckledBand.tsv	201	hasPredicate	かかっている	have		かかる
SpeckledBand.tsv	202	hasPredicate	ある	have		存在する
SpeckledBand.tsv	203	hasPredicate	ある	have		存在する
SpeckledBand.tsv	204	hasPredicate	敷かれていた	have		存在する
SpeckledBand.tsv	220	hasPredicate	ある	have		
SpeckledBand.tsv	227	hasPredicate	ある	have		
SpeckledBand.tsv	235	hasPredicate	あった	have		
SpeckledBand.tsv	236	hasPredicate	あった	have		
SpeckledBand.tsv	237	hasPredicate	あった	have		
SpeckledBand.tsv	238	hasPredicate	あった	have		
SpeckledBand.tsv	239	hasPredicate	あった	have		
SpeckledBand.tsv	240	hasPredicate	あった	have		
SpeckledBand.tsv	243	hasPredicate	ある	have		
SpeckledBand.tsv	255	hasPredicate	結んであった	have		
SpeckledBand.tsv	257	hasPredicate	計画を立てた	have		
SpeckledBand.tsv	340	hasPredicate	持つ	have		
SpeckledBand.tsv	348	hasPredicate	着ていた	have		着る
SpeckledBand.tsv	349	hasPredicate	つけていた	have		履く
SpeckledBand.tsv	393	hasPredicate	出す	have		
DancingMen.tsv	97	hasPredicate	聞こえた	hear		
CrookedMan.tsv	51	hasPredicate	聞いた	hear		
CrookedMan.tsv	80	hasPredicate	聞いた	hear		
CrookedMan.tsv	85	hasPredicate	聞いた	hear		
CrookedMan.tsv	112	hasPredicate	聞いた	hear		
CrookedMan.tsv	170	hasPredicate	聞いた	hear		
CrookedMan.tsv	234	hasPredicate	聞く	hear		
CrookedMan.tsv	283	hasPredicate	聞いた	hear		
SpeckledBand.tsv	58	hasPredicate	聞く	hear		
SpeckledBand.tsv	62	hasPredicate	聞く	hear		
SpeckledBand.tsv	67	hasPredicate	聞く	hear		
SpeckledBand.tsv	68	hasPredicate	聞く	hear		
SpeckledBand.tsv	69	hasPredicate	聞く	hear		
SpeckledBand.tsv	118	hasPredicate	聞いた	hear		聞く
SpeckledBand.tsv	305	hasPredicate	聞こえた	hear		
SpeckledBand.tsv	307	hasPredicate	聞こえる	hear		
SpeckledBand.tsv	317	hasPredicate	聞く	hear		
SpeckledBand.tsv	327	hasPredicate	聞いた	hear		
SpeckledBand.tsv	333	hasPredicate	聞く	hear		
SpeckledBand.tsv	394	hasPredicate	聞く	hear		
SpeckledBand.tsv	395	hasPredicate	聞く	hear		
CrookedMan.tsv	356	hasPredicate	助ける	help		
CrookedMan.tsv	156	hasPredicate	打ったかもしれない	hit		
SpeckledBand.tsv	242	hasPredicate	叩いた	hit		
SpeckledBand.tsv	324	hasPredicate	叩く	hit		
SpeckledBand.tsv	396	hasPredicate	叩く	hit		
ACaseOfIdentity.tsv	112	hasPredicate	つまむ	Hold	hold	
ACaseOfIdentity.tsv	205	hasPredicate	持たせる	Hold	hold	
CrookedMan.tsv	299	hasPredicate	願った	hope		
CrookedMan.tsv	352	hasPredicate	捕まえる	hunt		
CrookedMan.tsv	353	hasPredicate	捕まえている	hunt		
ACaseOfIdentity.tsv	208	hasPredicate	賛成だ	I agree	agree	I は省く
ACaseOfIdentity.tsv	318	hasProperty	おっとりしている	I am relaxed	relaxed	I は省く
ACaseOfIdentity.tsv	287	hasPredicate	信じている	I believe	believe	I は省く
ACaseOfIdentity.tsv	520	hasPredicate	騙せない	I can not lose weight	cannotLoseWeight	I は省く
ACaseOfIdentity.tsv	235	hasPredicate	分からない	I do not understand	notUnderstand	I は省く
ACaseOfIdentity.tsv	179	hasPredicate	受け取りたくない	I do not want to receive	notWantToReceive	I は省く　wantどうする？
ACaseOfIdentity.tsv	314	hasPredicate	見ていない	I have not seen	notSee	I は省く
ACaseOfIdentity.tsv	183	hasPredicate	愛している	I love you	love	I は省く
ACaseOfIdentity.tsv	209	hasPredicate	愛している	I love you	love	I は省く
ACaseOfIdentity.tsv	425	hasPredicate	避けたい	I want to avoid	wantToAvoid	I は省く
ACaseOfIdentity.tsv	216	hasPredicate	報告したい	I want to report	wantToReport	I は省く
ACaseOfIdentity.tsv	29	hasProperty	暮れている	I'm dead	dead	I は省く
ACaseOfIdentity.tsv	136	hasProperty	不満だ	I'm dissatisfied	dissatisfied	I は省く
ACaseOfIdentity.tsv	126	hasPredicate	参加している	I'm joining	joining	I は省く
ACaseOfIdentity.tsv	528	hasPredicate	ほのめかす	imply		
ACaseOfIdentity.tsv	323	hasPredicate	上達する	improve		
DancingMen.tsv	165	hasPredicate	含む	include		
DancingMen.tsv	168	hasPredicate	含む	include		
SpeckledBand.tsv	11	hasPredicate	含む	include		
SpeckledBand.tsv	29	hasPredicate	含む	include		
SpeckledBand.tsv	30	hasPredicate	含む	include		
SpeckledBand.tsv	35	hasPredicate	含む	include		
ACaseOfIdentity.tsv	514	hasPredicate	増す	Increase	increase	
ACaseOfIdentity.tsv	456	hasPredicate	知らせる	Inform	inform	
ACaseOfIdentity.tsv	494	hasPredicate	主張する	Insist	insist	
ACaseOfIdentity.tsv	95	hasProperty	興味深い	Interesting	interesting	Property?
ACaseOfIdentity.tsv	292	hasProperty	興味深い	Interesting	interesting	Property?
SpeckledBand.tsv	85	hasPredicate	診る	investigate		
SpeckledBand.tsv	90	hasPredicate	取り調べをした	investigate		取り調べる
SpeckledBand.tsv	97	hasPredicate	調べた	investigate		調べる
SpeckledBand.tsv	99	hasPredicate	調べた	investigate		調べる
SpeckledBand.tsv	142	hasPredicate	見てきた	investigate		見る
SpeckledBand.tsv	171	hasPredicate	調べた	investigate		調べる
SpeckledBand.tsv	189	hasPredicate	調べた	investigate		調べる
SpeckledBand.tsv	208	hasPredicate	見回した	investigate		見回す
SpeckledBand.tsv	213	hasPredicate	確認した	investigate		確認する
SpeckledBand.tsv	232	hasPredicate	調べた	investigate		
SpeckledBand.tsv	241	hasPredicate	調べてた	investigate		調べる
SpeckledBand.tsv	251	hasPredicate	考えた	investigate		
SpeckledBand.tsv	252	hasPredicate	調べた	investigate		
SpeckledBand.tsv	256	hasPredicate	疑った	investigate		
CrookedMan.tsv	49	hasPredicate	関わっていた	involve		
ACaseOfIdentity.tsv	446	hasProperty	関係している	Involved	involved	
ACaseOfIdentity.tsv	84	hasProperty	いらだっている	Irritated	irritated	
ACaseOfIdentity.tsv	33-1	hasPredicate	告げる	Is	tell	
ACaseOfIdentity.tsv	172	hasPredicate	ある	is there	exist	
ACaseOfIdentity.tsv	360	hasPredicate	ある	is there	exist	
ACaseOfIdentity.tsv	369	hasPredicate	ある	is there	exist	
ACaseOfIdentity.tsv	217	hasPredicate	働いている	is working	working	
ACaseOfIdentity.tsv	367	hasPredicate	働いている	is working	working	
ACaseOfIdentity.tsv	447	hasPredicate	書かれている	is written	beWritten	
ACaseOfIdentity.tsv	31	hasPredicate	叩かれる	IsBeaten	beBeaten	
ACaseOfIdentity.tsv	55	hasPredicate	断定している	IsConvinced	beConvinced	
ACaseOfIdentity.tsv	8	hasPredicate	向けられている	IsDirected	beDirected	
ACaseOfIdentity.tsv	18	hasProperty	色恋沙汰である	Romance		
ACaseOfIdentity.tsv	45	hasPredicate	驚く	isSurprised	beSurprised	
ACaseOfIdentity.tsv	476	hasPredicate	使える	It can be used	canBeUsed	
ACaseOfIdentity.tsv	563	hasPredicate	現れない	It does not appear	notAppear	
ACaseOfIdentity.tsv	63	hasPredicate	飛び出す	Jump out	jumpOut	
ACaseOfIdentity.tsv	451	hasPredicate	跳び上がる	Jump up	jumpUp	
ACaseOfIdentity.tsv	12	hasPredicate	飛び出す	JumpOut	jumpOut	
SpeckledBand.tsv	322	hasPredicate	飛び上がる	jumpUp		
ACaseOfIdentity.tsv	103	hasPredicate	預けている	keep		
CrookedMan.tsv	217	hasPredicate	飼っている	keep		
DancingMen.tsv	199	hasPredicate	殺した	kill		
CrookedMan.tsv	153	hasPredicate	殺したかもしれない	kill		
CrookedMan.tsv	322	hasPredicate	殺した	kill		
CrookedMan.tsv	207	hasPredicate	接吻した	kiss		
ACaseOfIdentity.tsv	48	hasPredicate	知っている	know		
ACaseOfIdentity.tsv	171	hasPredicate	知っている	know		
ACaseOfIdentity.tsv	250	hasPredicate	知っている	know		
ACaseOfIdentity.tsv	293	hasPredicate	知っている	know		
ACaseOfIdentity.tsv	566	hasPredicate	知っている	know		
ACaseOfIdentity.tsv	569	hasPredicate	知っている	know		
ACaseOfIdentity.tsv	572	hasPredicate	気づいている	know		
CrookedMan.tsv	163	hasPredicate	知っている	know		
CrookedMan.tsv	359	hasPredicate	知った	know		
SpeckledBand.tsv	268	hasPredicate	見当が付いている	know		
ACaseOfIdentity.tsv	141	hasPredicate	笑う	laugh		
ACaseOfIdentity.tsv	321	hasPredicate	笑う	laugh		
ACaseOfIdentity.tsv	540	hasPredicate	冷笑する	Laugh at	laugh	
ACaseOfIdentity.tsv	303	hasPredicate	導く	Lead	lead	
CrookedMan.tsv	10	hasPredicate	率いていた	lead		
DancingMen.tsv	217	hasPredicate	立ち去る	leave		
ACaseOfIdentity.tsv	74	hasPredicate	残す	leave		
ACaseOfIdentity.tsv	247	hasPredicate	離れる	Leave	leave	
CrookedMan.tsv	337	hasPredicate	離れた	leave		
CrookedMan.tsv	237	hasPredicate	させた	let		
SpeckledBand.tsv	27	hasPredicate	好む	like		
ACaseOfIdentity.tsv	14	hasPredicate	聞く	listen		
ACaseOfIdentity.tsv	53	hasPredicate	聞く	listen		
ACaseOfIdentity.tsv	110	hasPredicate	聞く	listen		
SpeckledBand.tsv	316	hasPredicate	耳を澄ませる	listen		
DancingMen.tsv	13	hasPredicate	住んでいる	live		
ACaseOfIdentity.tsv	170	hasPredicate	住んでいる	live		
ACaseOfIdentity.tsv	478	hasPredicate	住んでいる	live		
CrookedMan.tsv	45	hasPredicate	住んでいる	live		
CrookedMan.tsv	54	hasPredicate	住んでいる	live		
CrookedMan.tsv	213	hasPredicate	住んでいる	live		
CrookedMan.tsv	297	hasPredicate	暮らした	live		
SpeckledBand.tsv	8	hasPredicate	住む	live		
SpeckledBand.tsv	17	hasPredicate	住む	live		
SpeckledBand.tsv	26	hasPredicate	住む	live		
SpeckledBand.tsv	33	hasPredicate	住む	live		
SpeckledBand.tsv	40	hasPredicate	住む	live		
SpeckledBand.tsv	41	hasPredicate	住む	live		
SpeckledBand.tsv	42	hasPredicate	住む	live		
SpeckledBand.tsv	111	hasPredicate	住んでいる	live		住む
ACaseOfIdentity.tsv	54	hasPredicate	見つける	locate		
ACaseOfIdentity.tsv	60	hasPredicate	見つける	locate		
ACaseOfIdentity.tsv	459	hasPredicate	ロックする	Lock	lock	
SpeckledBand.tsv	64	hasPredicate	ロックする	lock		
SpeckledBand.tsv	187	hasPredicate	閉めた	lock		閉める
SpeckledBand.tsv	188	hasPredicate	鍵をかける	lock		鍵をかける
SpeckledBand.tsv	392	hasPredicate	ロックする	lock		
ACaseOfIdentity.tsv	38	hasPredicate	ながめ回す	Look around	lookAround	
ACaseOfIdentity.tsv	464	hasPredicate	見まわす	Look around	lookAround	
ACaseOfIdentity.tsv	233	hasPredicate	覗く	look in	lookIn	
CrookedMan.tsv	181	hasPredicate	うつむいていた	lookDown		
ACaseOfIdentity.tsv	488	hasPredicate	失う	lose		
SpeckledBand.tsv	83	hasPredicate	失う	lose		
SpeckledBand.tsv	147	hasPredicate	うま味が少しだけになる	lose		損をする
ACaseOfIdentity.tsv	507	hasPredicate	愛する	love		
ACaseOfIdentity.tsv	511	hasPredicate	愛する	love		
CrookedMan.tsv	24	hasPredicate	愛していた	love		
CrookedMan.tsv	267	hasPredicate	愛していた	love		
CrookedMan.tsv	268	hasPredicate	愛していた	love		
ACaseOfIdentity.tsv	564	hasPredicate	思わせる	Make me think	makeThink	
CrookedMan.tsv	14	hasPredicate	結婚した	marry	getMarried	
ACaseOfIdentity.tsv	575	hasPredicate	一致する	Match	match	
ACaseOfIdentity.tsv	114	hasPredicate	出会う	meet		
ACaseOfIdentity.tsv	134	hasPredicate	会う	meet		
ACaseOfIdentity.tsv	145	hasPredicate	出会う	meet		
ACaseOfIdentity.tsv	147	hasPredicate	会う	meet		
ACaseOfIdentity.tsv	474	hasPredicate	会う	meet		
ACaseOfIdentity.tsv	515	hasPredicate	会う	meet		
CrookedMan.tsv	77	hasPredicate	会った	meet		
CrookedMan.tsv	178	hasPredicate	会った	meet		
CrookedMan.tsv	238	hasPredicate	会う	meet		
CrookedMan.tsv	240	hasPredicate	会った	meet		
SpeckledBand.tsv	36	hasPredicate	会う	meet		
SpeckledBand.tsv	81	hasPredicate	会う	meet		
SpeckledBand.tsv	152	hasPredicate	会った	meet		会う
ACaseOfIdentity.tsv	148	hasPredicate	会っている	meeting		
ACaseOfIdentity.tsv	11	hasPredicate	いじっている	Mess	mess	
ACaseOfIdentity.tsv	438	hasPredicate	欠けている	Missing	missing	
ACaseOfIdentity.tsv	449	hasPredicate	欠けている	Missing	missing	
DancingMen.tsv	57	hasPredicate	動いた	move		
ACaseOfIdentity.tsv	10	hasPredicate	動く	Move	move	
ACaseOfIdentity.tsv	422	hasPredicate	動く	Move	move	
DancingMen.tsv	181	hasPredicate	必要である	need		
ACaseOfIdentity.tsv	117	hasPredicate	承知しない	not accept	notAccept	
ACaseOfIdentity.tsv	27	hasProperty	怒っていない	Not angry	notAngry	
ACaseOfIdentity.tsv	578	hasPredicate	信じない	not believe	notBelieve	
ACaseOfIdentity.tsv	543	hasPredicate	破っていない	Not broken	notBrake	
ACaseOfIdentity.tsv	492	hasPredicate	続かない	not continue	notContinue	
ACaseOfIdentity.tsv	427	hasPredicate	見つけられない	Not found	notFound	
ACaseOfIdentity.tsv	125	hasPredicate	持たない	Not Have	notHave	
ACaseOfIdentity.tsv	129	hasPredicate	持たない	not have	notHave	
ACaseOfIdentity.tsv	396	hasPredicate	持たない	not have	notHave	
ACaseOfIdentity.tsv	404	hasPredicate	持たない	not have	notHave	
ACaseOfIdentity.tsv	382	hasPredicate	はない	not important	notImportant	
ACaseOfIdentity.tsv	230	hasPredicate	いない	Not in	notExist	
ACaseOfIdentity.tsv	232	hasPredicate	いない	Not in	notExist	
ACaseOfIdentity.tsv	234	hasPredicate	いない	Not in	notExist	
ACaseOfIdentity.tsv	393	hasPredicate	間に合わない	Not in time	notBeInTime	
ACaseOfIdentity.tsv	490	hasPredicate	出さない	Not issued	notIssue	
SpeckledBand.tsv	70	hasPredicate	notロックする	not Lock	notLock	
ACaseOfIdentity.tsv	525	hasPredicate	愛さない	not love	notLove	
ACaseOfIdentity.tsv	220	hasPredicate	届かない	Not reach	notReach	
ACaseOfIdentity.tsv	102	hasPredicate	頼らない	not rely on	notRelyOn	
ACaseOfIdentity.tsv	508	hasPredicate	思わない	not think	notThink	
CrookedMan.tsv	331	hasPredicate	明かしたくなかった	not want to reveal	notWantToReveal	
SpeckledBand.tsv	140	hasPredicate	はぐらかした	notAnswer		はぐらかす
CrookedMan.tsv	23	hasPredicate	言い争わなかった	notArgue		
CrookedMan.tsv	70	hasPredicate	使われない	notBeUsed		
CrookedMan.tsv	328	hasPredicate	呼ばなかった	notCall		
SpeckledBand.tsv	154	hasPredicate	帰ってこない	notCome		not帰る
SpeckledBand.tsv	370	hasPredicate	not入る	notCome		
CrookedMan.tsv	118	hasPredicate	矛盾しない	notContradict		
DancingMen.tsv	62b	hasPredicate	異なる	notEqualTo		
DancingMen.tsv	129	hasPredicate	ない	notExist		
CrookedMan.tsv	96	hasPredicate	なかった	notExist		
SpeckledBand.tsv	31	hasPredicate	not存在する	notExist		
SpeckledBand.tsv	46	hasPredicate	not存在する	notExist		
SpeckledBand.tsv	47	hasPredicate	not存在する	notExist		
SpeckledBand.tsv	134	hasPredicate	留守にしている	notExist		留守にする
SpeckledBand.tsv	168	hasPredicate	いない	notExist		not存在する
SpeckledBand.tsv	246	hasPredicate	いない	notExist		notいる
SpeckledBand.tsv	105	hasPredicate	見つからなかった	notFind		not存在する
SpeckledBand.tsv	382	hasPredicate	not気づく	notFind		
DancingMen.tsv	39	hasPredicate	強要しなかった	notForce		
SpeckledBand.tsv	222	hasPredicate	外気が入る	notGo		
SpeckledBand.tsv	231	hasPredicate	風の入らない	notGo		
SpeckledBand.tsv	273	hasPredicate	通れない	notGo		not通る
CrookedMan.tsv	46	hasPredicate	もっていない	notHave		
CrookedMan.tsv	111	hasPredicate	持っていなかった	notHave		
CrookedMan.tsv	165	hasPredicate	持たない	notHave		
SpeckledBand.tsv	4	hasPredicate	not持つ	notHave		
SpeckledBand.tsv	104	hasPredicate	ない	notHave		not存在する
SpeckledBand.tsv	60	hasPredicate	not聞く	notHear		
ACaseOfIdentity.tsv	24	hasPredicate	ためらわない	NotHesitate	notHesitate	
DancingMen.tsv	224	hasPredicate	外れた	notHit		
ACaseOfIdentity.tsv	44	hasPredicate	気づく	notice		
ACaseOfIdentity.tsv	348	hasPredicate	気づく	notice		
ACaseOfIdentity.tsv	568	hasPredicate	気づく	notice		
DancingMen.tsv	2	hasPredicate	知りたい	notKnow		
DancingMen.tsv	14	hasPredicate	知らない	notKnow		
DancingMen.tsv	32	hasPredicate	知らない	notKnow		
ACaseOfIdentity.tsv	169	hasPredicate	知らない	NotKnow	notKnow	
CrookedMan.tsv	109	hasPredicate	知らなかった	notKnow		
CrookedMan.tsv	35	hasPredicate	嫌がる	notLike		
CrookedMan.tsv	25	hasPredicate	愛していなかった	notLove		
CrookedMan.tsv	208	hasPredicate	会っていない	notMeet		
DancingMen.tsv	113	hasPredicate	動かされていなかった	notMoved		
SpeckledBand.tsv	38	hasPredicate	not反対する	notOppose		
SpeckledBand.tsv	113	hasPredicate	反対しない	notOppose		not反対する
CrookedMan.tsv	82	hasPredicate	反応しなかった	notRespond		
SpeckledBand.tsv	250	hasPredicate	満足しない	notSatisfied		not満足する
DancingMen.tsv	18	hasPredicate	言わない	notSay		
DancingMen.tsv	90	hasPredicate	述べない	notSay		
CrookedMan.tsv	218	hasPredicate	見ていない	notSee		
SpeckledBand.tsv	326	hasPredicate	見えなかった	notSee		not見る
SpeckledBand.tsv	328	hasPredicate	わからなかった	notSee		
DancingMen.tsv	208	hasPredicate	しなかった	notSend		
SpeckledBand.tsv	65	hasPredicate	not寝る	notSleep		
SpeckledBand.tsv	295	hasPredicate	眠らない	notSleep		not眠る
